gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
637516608	465	100	129	348	2	218	7.8e-84	280.3	pfam00308	Bac_DnaA	219
637516608	465	100	373	442	2	70	5.3e-26	89.9	pfam08299	Bac_DnaA_C	70
637516609	382	100	1	123	1	119	5.4e-32	109.9	pfam00712	DNA_pol3_beta	120
637516609	382	100	133	259	1	116	8.6e-31	106	pfam02767	DNA_pol3_beta_2	116
637516609	382	100	261	381	1	121	1.4e-33	114.7	pfam02768	DNA_pol3_beta_3	121
637516610	358	100	2	352	2	205	6.9e-24	83.9	pfam02463	SMC_N	220
637516611	822	100	45	188	2	108	4.2e-20	71.2	pfam02518	HATPase_c	111
637516611	822	100	234	404	1	173	6.4e-63	210.7	pfam00204	DNA_gyraseB	173
637516611	822	100	748	812	3	65	2.8e-30	103.5	pfam00986	DNA_gyraseB_C	65
637516612	78	100	8	75	1	66	1.4e-31	107.9	pfam09939	DUF2171	67
637516614	644	100	41	177	1	118	1.6e-15	57.1	pfam00005	ABC_tran	118
637516614	644	100	351	459	1	118	2.0e-14	53.6	pfam00005	ABC_tran	118
637516617	111	100	6	97	3	91	4.0e-26	90.2	pfam01521	Fe-S_biosyn	91
637516618	376	100	3	376	2	362	2.4e-130	434.3	pfam03702	UPF0075	364
637516619	404	100	32	319	1	285	1.1e-74	250.8	pfam00579	tRNA-synt_1b	292
637516621	651	100	61	291	1	199	2.4e-08	33.3	pfam00149	Metallophos	200
637516621	651	100	433	601	20	150	1.1e-29	103	pfam02872	5_nucleotid_C	151
637516627	204	100	1	75	10	75	7.3e-09	35.3	pfam02798	GST_N	75
637516627	204	100	25	192	14	94	1.3e-13	50.4	pfam00043	GST_C	95
637516628	103	100	49	81	2	30	1.3e-07	30.7	pfam00023	Ank	33
637516629	180	100	1	148	1	136	2.3e-33	114.5	pfam03358	FMN_red	146
637516630	160	100	7	147	4	76	2.2e-18	65.7	pfam00254	FKBP_C	96
637516631	179	100	20	172	3	147	1.1e-43	148.2	pfam01252	Peptidase_A8	150
637516632	945	100	36	652	1	596	0.0e+00	698.5	pfam00133	tRNA-synt_1	601
637516632	945	100	697	853	1	152	6.1e-28	97.2	pfam08264	Anticodon_1	152
637516632	945	100	905	933	1	28	8.5e-09	34.5	pfam06827	zf-FPG_IleRS	30
637516633	333	100	13	163	7	158	4.2e-46	156.1	pfam06574	FAD_syn	158
637516633	333	100	179	326	1	123	5.8e-28	96.9	pfam01687	Flavokinase	125
637516634	374	100	13	308	1	287	1.5e-69	233.8	pfam03595	C4dic_mal_tran	287
637516635	266	100	40	258	1	228	2.6e-10	39.9	pfam00561	Abhydrolase_1	231
637516636	205	100	13	59	1	47	1.7e-12	46.4	pfam00440	TetR_N	47
637516636	205	100	60	203	1	143	5.8e-55	184.6	pfam08362	TetR_C_3	143
637516637	369	100	1	325	1	303	2.0e-69	233.7	pfam00296	Bac_luciferase	307
637516638	245	100	32	230	1	173	3.4e-41	140.7	pfam00857	Isochorismatase	174
637516639	126	100	9	126	5	121	1.9e-34	117.7	pfam01042	Ribonuc_L-PSP	121
637516640	188	100	38	184	1	152	1.5e-32	112.2	pfam01613	Flavin_Reduct	155
637516641	454	100	32	406	2	386	1.8e-94	316.1	pfam00860	Xan_ur_permease	389
637516642	290	100	1	156	3	162	5.5e-41	139.8	pfam03446	NAD_binding_2	163
637516643	269	100	74	187	1	117	1.8e-23	82.8	pfam00005	ABC_tran	118
637516644	266	100	84	259	2	181	3.8e-28	97.9	pfam00528	BPD_transp_1	185
637516645	396	100	1	328	1	306	2.7e-80	269.4	pfam00296	Bac_luciferase	307
637516646	335	100	50	263	22	215	1.0e-20	73.9	pfam09084	NMT1	216
637516647	340	100	77	274	17	216	1.4e-19	70.2	pfam09084	NMT1	216
637516648	451	100	33	273	1	242	6.7e-24	84.4	pfam00696	AA_kinase	243
637516648	451	100	344	422	2	67	9.2e-09	34.9	pfam00583	Acetyltransf_1	83
637516649	100	100	47	98	1	52	1.8e-18	65.4	pfam11776	DUF3315	52
637516650	135	100	82	132	1	52	3.5e-17	61.3	pfam11776	DUF3315	52
637516651	248	100	16	187	2	165	1.5e-26	93	pfam00106	adh_short	167
637516652	235	100	1	179	1	191	6.0e-21	75.1	pfam00702	Hydrolase	192
637516653	238	100	55	152	1	95	1.8e-19	69.6	pfam08241	Methyltransf_11	95
637516654	206	100	76	194	79	183	5.5e-16	58.3	pfam01323	DSBA	193
637516655	224	100	28	73	1	47	5.0e-11	41.7	pfam00440	TetR_N	47
637516656	211	100	15	62	1	47	5.1e-09	35.3	pfam00440	TetR_N	47
637516657	340	100	34	129	1	97	2.2e-13	49.8	pfam00970	FAD_binding_6	99
637516657	340	100	138	233	1	108	2.9e-10	40.3	pfam00175	NAD_binding_1	109
637516657	340	100	262	332	6	54	9.0e-06	25	pfam00111	Fer2	77
637516658	383	100	70	343	3	255	2.0e-33	115.5	pfam00487	FA_desaturase	257
637516659	251	100	23	154	1	129	4.6e-26	91.4	pfam01138	RNase_PH	132
637516659	251	100	170	237	1	68	1.2e-09	37.6	pfam03725	RNase_PH_C	68
637516671	289	100	32	120	1	88	1.9e-26	91.3	pfam02749	QRPTase_N	88
