gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
637861518	457	100	123	340	2	218	4.7e-85	284.3	pfam00308	Bac_DnaA	219
637861518	457	100	365	434	2	70	3.6e-24	84	pfam08299	Bac_DnaA_C	70
637861519	375	100	1	120	1	120	3.6e-26	91	pfam00712	DNA_pol3_beta	120
637861519	375	100	129	250	3	116	2.0e-24	85.5	pfam02767	DNA_pol3_beta_2	116
637861519	375	100	252	374	1	121	7.0e-30	102.7	pfam02768	DNA_pol3_beta_3	121
637861520	372	100	2	366	3	205	2.2e-15	56.1	pfam02463	SMC_N	220
637861521	795	100	20	163	4	109	2.2e-16	59.2	pfam02518	HATPase_c	111
637861521	795	100	209	384	1	173	3.1e-54	182.4	pfam00204	DNA_gyraseB	173
637861521	795	100	411	519	2	90	4.5e-05	23.1	pfam01751	Toprim	96
637861521	795	100	720	784	4	65	5.5e-30	102.5	pfam00986	DNA_gyraseB_C	65
637861522	331	100	107	188	2	80	1.8e-25	88	pfam08545	ACP_syn_III	80
637861522	331	100	242	331	2	90	1.6e-32	111	pfam08541	ACP_syn_III_C	90
637861524	173	100	39	172	58	193	3.4e-14	52.7	pfam07998	Peptidase_M54	194
637861526	711	100	473	534	2	63	3.7e-14	52	pfam02754	CCG	64
637861526	711	100	595	663	1	64	1.2e-11	44	pfam02754	CCG	64
637861528	222	100	12	206	2	192	5.3e-16	58.4	pfam01323	DSBA	193
637861529	327	100	121	310	2	185	4.7e-54	182.4	pfam08443	RimK	190
637861530	946	100	26	675	2	598	0.0e+00	656.3	pfam00133	tRNA-synt_1	601
637861530	946	100	719	874	1	149	5.7e-27	94	pfam08264	Anticodon_1	152
637861530	946	100	916	945	3	28	1.5e-05	24.1	pfam06827	zf-FPG_IleRS	30
637861531	206	100	10	194	2	143	1.2e-46	157.7	pfam01252	Peptidase_A8	150
637861532	301	100	1	286	11	255	2.3e-60	203.5	pfam01790	LGT	257
637861540	469	100	233	300	3	67	1.0e-08	34.7	pfam00512	HisKA	68
637861540	469	100	343	450	6	110	2.9e-29	100.7	pfam02518	HATPase_c	111
637861541	129	100	9	125	2	128	2.0e-11	43.6	pfam00903	Glyoxalase	128
637861543	510	100	50	235	2	170	1.1e-14	54	pfam00587	tRNA-synt_2b	173
637861543	510	100	303	406	1	91	2.7e-11	42.9	pfam03129	HGTP_anticodon	94
637861543	510	100	432	510	9	68	5.3e-21	74	pfam09180	ProRS-C_1	68
637861546	329	100	13	230	6	229	1.0e-13	51	pfam01370	Epimerase	238
637861547	313	100	16	75	2	59	2.7e-14	52.3	pfam00126	HTH_1	60
637861547	313	100	101	303	4	208	1.1e-18	66.8	pfam03466	LysR_substrate	209
637861548	742	100	367	427	3	40	1.5e-05	24	pfam09699	Paired_CXXCH_1	41
637861548	742	100	515	584	5	75	6.5e-05	22.6	pfam00041	fn3	85
637861549	651	100	319	388	2	69	1.4e-13	50.4	pfam00672	HAMP	70
637861549	651	100	444	627	7	211	2.5e-31	108.5	pfam00015	MCPsignal	213
637861550	340	100	33	200	1	165	6.3e-36	123.4	pfam00106	adh_short	167
637861551	407	100	12	401	2	424	1.9e-37	128.3	pfam03349	Toluene_X	427
637861553	543	100	34	458	1	406	2.9e-54	183.9	pfam00474	SSF	406
637861555	441	100	29	362	110	413	1.7e-18	65.8	pfam00501	AMP-binding	418
637861556	147	100	4	67	3	60	1.2e-05	24.3	pfam01842	ACT	66
637861556	147	100	68	132	3	60	5.4e-07	28.6	pfam01842	ACT	66
637861557	441	100	86	363	137	412	3.6e-22	77.9	pfam00501	AMP-binding	418
637861558	162	100	14	107	1	83	4.7e-21	75.1	pfam01558	POR	173
637861558	162	100	98	156	122	173	4.4e-05	23.1	pfam01558	POR	173
637861559	546	100	14	173	2	160	4.7e-14	52.1	pfam01855	POR_N	230
637861559	546	100	358	507	1	149	4.1e-21	74.8	pfam02775	TPP_enzyme_C	150
637861560	307	100	70	299	101	317	8.6e-43	146.3	pfam01515	PTA_PTB	319
637861561	368	100	11	359	61	381	2.6e-42	144.4	pfam00871	Acetate_kinase	388
637861562	492	100	18	81	2	64	1.8e-14	52.6	pfam00392	GntR	64
637861562	492	100	128	476	25	363	2.9e-24	85.3	pfam00155	Aminotran_1_2	363
637861563	355	100	10	110	3	58	2.0e-06	27.3	pfam01243	Pyridox_oxidase	89
637861563	355	100	236	332	3	82	1.0e-10	41.2	pfam00583	Acetyltransf_1	83
637861564	204	100	27	154	1	123	3.9e-14	52.5	pfam09335	SNARE_assoc	123
637861566	165	100	27	163	3	139	2.5e-44	150	pfam11220	DUF3015	144
637861567	267	100	25	201	6	164	5.8e-39	133.1	pfam01012	ETF	164
637861568	321	100	3	162	1	163	2.1e-36	124.7	pfam01012	ETF	164
637861568	321	100	198	281	2	86	5.3e-34	115.3	pfam00766	ETF_alpha	86
637861569	334	100	22	248	3	194	8.2e-31	106.9	pfam00753	Lactamase_B	194
637861570	253	100	15	205	2	183	1.1e-48	164.8	pfam03741	TerC	184
637861571	304	100	11	133	1	125	5.9e-14	51.8	pfam00892	EamA	126
637861571	304	100	156	279	10	122	2.4e-18	66	pfam00892	EamA	126
637861572	399	100	146	301	2	158	3.9e-49	166	pfam03562	MltA	158
637861572	399	100	318	397	1	74	5.1e-17	61.2	pfam06725	3D	75
637861573	432	100	14	391	2	384	1.5e-100	336.1	pfam00860	Xan_ur_permease	389
637861575	339	100	93	250	1	164	2.1e-35	121.6	pfam00849	PseudoU_synth_2	164
637861576	852	100	84	267	2	177	1.2e-59	200.3	pfam00912	Transgly	178
637861576	852	100	490	787	1	303	1.3e-29	102.8	pfam00905	Transpeptidase	304
637861577	688	100	171	240	3	68	1.1e-11	44.4	pfam00672	HAMP	70
637861577	688	100	394	605	7	209	2.9e-45	154.1	pfam00015	MCPsignal	213
637861577	688	100	599	688	131	212	1.5e-10	40.7	pfam00015	MCPsignal	213
637861578	154	100	10	138	1	141	3.0e-37	127.3	pfam01878	DUF55	143
637861579	146	100	4	72	1	49	4.0e-16	57.5	pfam02416	MttA_Hcf106	53
637861580	270	100	29	243	2	214	7.5e-63	211.5	pfam00902	TatC	214
637861581	398	100	6	268	2	263	1.3e-78	263.3	pfam00108	Thiolase_N	264
637861581	398	100	275	397	2	122	3.2e-46	155.4	pfam02803	Thiolase_C	123
637861583	246	100	52	207	3	138	1.4e-06	28	pfam01694	Rhomboid	146
637861585	648	100	23	329	1	300	4.8e-126	419.4	pfam08497	Radical_SAM_N	300
637861585	648	100	330	539	1	166	6.0e-14	52.2	pfam04055	Radical_SAM	166
637861585	648	100	547	633	2	72	2.9e-09	36.6	pfam11842	DUF3362	151
637861586	203	100	72	164	9	94	9.9e-17	60.5	pfam09832	DUF2059	94
637861587	247	100	38	221	1	235	4.2e-20	72.3	pfam00657	Lipase_GDSL	235
637861588	457	100	38	390	2	338	1.3e-99	332.9	pfam00202	Aminotran_3	339
637861589	223	100	4	214	2	182	1.2e-12	47.3	pfam01656	CbiA	194
637861591	90	100	9	83	2	74	5.7e-35	118.7	pfam08899	DUF1844	74
637861592	474	100	102	275	26	215	2.6e-14	53	pfam00089	Trypsin	219
637861592	474	100	277	346	7	56	1.6e-05	24.7	pfam00595	PDZ	81
637861592	474	100	382	461	9	76	5.9e-06	26	pfam00595	PDZ	81
637861594	222	100	19	194	1	180	8.5e-49	164.7	pfam02581	TMP-TENI	180
637861595	236	100	5	212	21	217	5.5e-58	195.6	pfam07722	Peptidase_C26	217
637861596	247	100	12	246	1	230	5.8e-58	195.7	pfam08543	Phos_pyr_kin	246
637861597	236	100	49	161	32	118	5.4e-05	22.7	pfam01797	Transposase_17	121
637861598	473	100	23	125	2	103	8.2e-25	86.3	pfam00772	DnaB	103
637861598	473	100	203	389	1	185	8.2e-69	230.2	pfam03796	DnaB_C	185
637861599	295	100	72	168	3	99	4.3e-13	49.2	pfam03168	LEA_2	101
637861599	295	100	198	289	1	95	1.0e-11	44.8	pfam03168	LEA_2	101
637861600	224	100	10	224	1	211	1.0e-65	220.6	pfam04172	LrgB	215
637861601	136	100	31	126	1	95	3.3e-29	100.1	pfam03788	LrgA	96
637861602	311	100	3	62	1	60	1.0e-22	79.2	pfam00126	HTH_1	60
637861602	311	100	86	293	3	208	4.4e-52	175.8	pfam03466	LysR_substrate	209
637861603	1150	100	12	310	2	303	6.5e-70	235.5	pfam02574	S-methyl_trans	305
637861603	1150	100	340	549	2	210	3.6e-32	111.1	pfam00809	Pterin_bind	210
637861603	1150	100	634	716	3	83	3.5e-25	87.2	pfam02607	B12-binding_2	84
637861603	1150	100	721	840	2	92	1.4e-17	63.3	pfam02310	B12-binding	121
637861603	1150	100	1019	1142	1	135	1.8e-36	124.4	pfam02965	Met_synt_B12	136
637861604	356	100	79	239	4	163	8.2e-17	61.5	pfam04055	Radical_SAM	166
637861606	228	100	53	214	4	164	2.5e-26	91.9	pfam03548	LolA	165
637861607	491	100	11	491	12	504	0.0e+00	736.8	pfam05872	DUF853	504
637861608	472	100	230	299	3	68	1.3e-10	40.8	pfam00512	HisKA	68
637861608	472	100	344	451	4	107	2.0e-14	52.9	pfam02518	HATPase_c	111
637861609	285	100	143	281	1	142	2.3e-45	153.6	pfam07920	DUF1684	143
637861610	146	100	12	61	2	52	1.4e-04	21.9	pfam01814	Hemerythrin	59
637861610	146	100	74	129	5	56	2.6e-01	11.5	pfam01814	Hemerythrin	59
637861611	483	100	17	116	1	98	4.1e-31	106.3	pfam00919	UPF0004	98
637861611	483	100	161	333	3	166	2.5e-21	76.2	pfam04055	Radical_SAM	166
637861611	483	100	386	453	1	61	2.8e-06	26.7	pfam01938	TRAM	61
637861612	162	100	1	161	1	160	9.0e-61	204.1	pfam04461	DUF520	160
637861613	550	100	13	191	2	157	4.4e-21	75.1	pfam00753	Lactamase_B	194
637861613	550	100	356	391	11	43	4.1e-09	35.8	pfam07521	RMMBL	43
637861615	797	100	16	498	1	531	9.3e-129	430.2	pfam00580	UvrD-helicase	533
637861616	376	100	19	343	2	329	3.2e-84	282.4	pfam00962	A_deaminase	330
637861617	161	100	72	155	1	82	5.7e-32	109	pfam01035	DNA_binding_1	85
637861618	413	100	5	277	2	245	2.6e-59	200.2	pfam00483	NTP_transferase	248
637861619	128	100	10	122	1	104	8.8e-22	76.9	pfam00072	Response_reg	112
637861620	458	100	41	184	2	136	4.2e-19	68.4	pfam00675	Peptidase_M16	149
637861620	458	100	198	376	3	182	2.0e-31	108.7	pfam05193	Peptidase_M16_C	183
637861621	519	100	73	213	5	117	3.0e-13	49.4	pfam00675	Peptidase_M16	149
637861621	519	100	230	405	6	183	3.4e-29	101.5	pfam05193	Peptidase_M16_C	183
637861623	135	100	35	108	24	83	3.0e-09	36.4	pfam00583	Acetyltransf_1	83
637861624	459	100	9	118	1	108	4.7e-25	87.4	pfam00072	Response_reg	112
637861624	459	100	146	313	1	167	1.2e-66	223	pfam00158	Sigma54_activat	168
637861624	459	100	409	450	3	41	9.5e-09	34.3	pfam02954	HTH_8	42
637861625	497	100	166	238	4	69	2.1e-09	37.1	pfam00672	HAMP	70
637861625	497	100	269	334	3	66	6.7e-09	35.3	pfam00512	HisKA	68
637861625	497	100	377	483	2	110	7.9e-25	86.4	pfam02518	HATPase_c	111
637861627	571	100	4	168	24	169	1.7e-04	20.7	pfam03264	Cytochrom_NNT	174
637861627	571	100	349	541	3	170	3.2e-10	39.3	pfam00033	Cytochrom_B_N	188
637861629	581	100	38	269	3	190	3.5e-32	111.7	pfam00246	Peptidase_M14	277
637861630	344	100	10	339	2	325	0.0e+00	501.9	pfam06723	MreB_Mbl	327
637861631	344	100	10	339	2	325	0.0e+00	502.6	pfam06723	MreB_Mbl	327
637861632	674	100	69	105	2	36	2.9e-08	32.8	pfam07676	PD40	39
637861632	674	100	210	230	15	26	7.2e-02	12.4	pfam07676	PD40	39
637861632	674	100	253	285	7	26	6.1e-03	15.8	pfam07676	PD40	39
637861632	674	100	458	666	1	211	2.5e-57	193.2	pfam00326	Peptidase_S9	213
637861633	588	100	60	323	1	255	5.7e-48	163	pfam00069	Pkinase	260
637861634	149	100	1	48	1	48	7.0e-24	82.5	pfam01281	Ribosomal_L9_N	48
637861634	149	100	62	147	1	87	2.0e-30	104.3	pfam03948	Ribosomal_L9_C	87
637861635	135	100	75	128	2	54	3.7e-22	77.6	pfam01084	Ribosomal_S18	54
637861636	148	100	9	100	1	91	2.8e-20	71.6	pfam01250	Ribosomal_S6	92
637861637	192	100	3	185	1	184	1.5e-64	216.5	pfam01195	Pept_tRNA_hydro	184
637861638	240	100	6	93	1	88	2.2e-28	97.8	pfam01386	Ribosomal_L25p	88
637861639	321	100	157	257	27	119	7.2e-09	35.1	pfam00156	Pribosyltran	125
637861640	101	100	1	83	1	83	2.0e-34	117.1	pfam04026	SpoVG	84
637861641	313	100	87	143	2	64	1.1e-07	31.5	pfam00288	GHMP_kinases_N	68
637861641	313	100	207	272	30	76	2.9e-05	23.7	pfam08544	GHMP_kinases_C	82
637861642	117	100	49	99	5	48	6.1e-06	25.5	pfam08239	SH3_3	52
637861645	175	100	8	129	3	124	1.1e-18	66.7	pfam00156	Pribosyltran	125
637861648	175	100	3	108	2	99	2.0e-13	49.9	pfam07238	PilZ	102
637861649	726	100	7	459	2	359	1.1e-79	267.6	pfam03065	Glyco_hydro_57	359
637861650	289	100	42	105	1	68	9.1e-16	57.4	pfam00498	FHA	68
