gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
638078067	474	100	138	357	1	217	2.9e-94	314.4	pfam00308	Bac_DnaA	219
638078067	474	100	382	451	2	70	8.8e-34	114.8	pfam08299	Bac_DnaA_C	70
638078068	366	100	1	120	1	119	2.6e-40	136.7	pfam00712	DNA_pol3_beta	120
638078068	366	100	129	243	2	116	1.5e-34	118.1	pfam02767	DNA_pol3_beta_2	116
638078068	366	100	245	365	2	121	5.7e-38	128.8	pfam02768	DNA_pol3_beta_3	121
638078069	332	100	1	318	40	202	4.3e-12	45.4	pfam02463	SMC_N	220
638078070	805	100	32	175	2	108	1.1e-18	66.7	pfam02518	HATPase_c	111
638078070	805	100	221	392	1	173	2.6e-62	208.7	pfam00204	DNA_gyraseB	173
638078070	805	100	419	528	2	86	4.1e-05	23.2	pfam01751	Toprim	96
638078070	805	100	730	794	4	65	7.3e-29	99	pfam00986	DNA_gyraseB_C	65
638078071	118	100	11	113	2	93	6.9e-21	74.2	pfam00816	Histone_HNS	93
638078072	242	100	67	193	2	134	6.5e-20	70.7	pfam01553	Acyltransferase	135
638078073	182	100	3	124	2	110	3.5e-06	26.2	pfam08645	PNK3P	158
638078074	690	100	5	551	1	547	0.0e+00	720.1	pfam02092	tRNA_synt_2f	549
638078074	690	100	579	685	4	104	8.7e-09	35	pfam05746	DALR_1	119
638078075	334	100	12	299	1	284	0.0e+00	526.7	pfam02091	tRNA-synt_2e	284
638078076	192	100	7	185	1	178	5.9e-81	269.9	pfam03352	Adenine_glyco	179
638078077	258	100	11	258	3	249	1.3e-103	344.9	pfam05673	DUF815	250
638078078	447	100	115	435	17	318	1.9e-68	230.6	pfam11067	DUF2868	319
638078079	493	100	31	165	1	93	5.8e-09	35.3	pfam01926	MMR_HSR1	108
638078079	493	100	176	484	2	285	1.5e-51	175.1	pfam11981	DUF3482	292
638078080	168	100	52	112	1	59	1.2e-10	40.5	pfam01047	MarR	59
638078081	702	100	24	687	1	648	0.0e+00	617.1	pfam04632	FUSC	650
638078082	66	100	3	60	1	58	4.7e-21	74	pfam07869	DUF1656	58
638078083	329	100	44	318	1	291	2.3e-38	131.9	pfam00529	HlyD	306
638078084	241	100	31	237	1	207	1.4e-13	51.3	pfam09234	DUF1963	224
638078085	305	100	47	187	8	135	1.7e-18	66.3	pfam02311	AraC_binding	136
638078085	305	100	261	300	8	42	4.7e-08	32.3	pfam00165	HTH_AraC	42
638078086	499	100	13	477	1	462	0.0e+00	456.8	pfam00171	Aldedh	462
638078087	383	100	6	117	1	113	2.5e-29	101.8	pfam02771	Acyl-CoA_dh_N	113
638078087	383	100	121	173	1	52	8.1e-20	69.7	pfam02770	Acyl-CoA_dh_M	52
638078087	383	100	227	377	1	150	2.3e-50	170.2	pfam00441	Acyl-CoA_dh_1	150
638078088	296	100	1	162	2	162	4.5e-49	166.1	pfam03446	NAD_binding_2	163
638078089	310	100	54	271	1	209	2.6e-28	99.1	pfam05721	PhyH	211
638078090	58	100	6	44	1	39	1.7e-15	56.3	pfam07043	DUF1328	39
